className,method,score
cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto#getAppType,1
cn.nc.common.log.filter.BootLogFilter,cn.nc.common.log.filter.BootLogFilter#decide,4
cn.nc.issuance.bid.holder.HttpContextHolder,cn.nc.issuance.bid.holder.HttpContextHolder#getHeader,1
cn.nc.user.instuser.service.impl.instUserTaskServiceImpl,cn.nc.user.instuser.service.impl.instUserTaskServiceImpl#taskSubmit,0
cn.nc.pub.msg.service.dto.productInstance.BookFinShchProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookFinShchProductInstanceDto#setDistributeBeginDate,0
cn.nc.operation.task.engine.service.ExecutionContext,cn.nc.operation.task.engine.service.ExecutionContext#setProcessInstanceInfo,0
cn.nc.pub.msg.service.dto.productInstance.BookCrmwProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookCrmwProductInstanceDto#getSubRateUnit,1
cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto#setBenchmarkIrstRate,0
cn.nc.user.initinst.service.InstOpenApplyService,cn.nc.user.initinst.service.InstOpenApplyService#approvalPass,0
cn.nc.issuance.bid.utils.DateUtil,cn.nc.issuance.bid.utils.DateUtil#getFormatTime,9
cn.nc.issuance.dist.adapter.feign.MemberFeignService,cn.nc.issuance.dist.adapter.feign.MemberFeignService#cfaeAcctDepositQueryList,0
cn.nc.pub.msg.service.dto.productInstance.BiddingCcdcProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BiddingCcdcProductInstanceDto#getInvDirectTransOption,1
cn.nc.issuance.common.utils.FileManageUtil,cn.nc.issuance.common.utils.FileManageUtil#createFile,3
cn.nc.operation.base.facade.controller.work.WorkGroupSaveController,cn.nc.operation.base.facade.controller.work.WorkGroupSaveController#doService,1
cn.nc.user.reguser.facade.controller.QueryRegThirdUserRelListController,cn.nc.user.reguser.facade.controller.QueryRegThirdUserRelListController#queryThirdUserRelList,1
cn.nc.channel.log.adapter.repository.po.AuditLogHis,cn.nc.channel.log.adapter.repository.po.AuditLogHis#setDigest,0
cn.nc.issuance.book.dcm.query.service.QueryStatisticsService,cn.nc.issuance.book.dcm.query.service.QueryStatisticsService#underWritingRatioChangeExport,0
cn.nc.pub.msg.service.dto.productInstance.BookCrmwProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookCrmwProductInstanceDto#getExtendDay,1
cn.nc.issuance.book.dcm.utils.DateUtil,cn.nc.issuance.book.dcm.utils.DateUtil#getYear2,7
